PY,CR,TC,SO,DT,Articulo,DI
2022,21,12,3,3,IMPACT OF ARTIFICIAL INTELLIGENCE INVESTMENT O...,10lnbahjk.12345
2022,114,1,3,3,A REVIEW ON MACHINE LEARNING FOR ASSET MANAGEMENT,101233344
2022,19,1,3,3,EVALUATION OF FOREX TRADING STRATEGIES BASED I...,100001.hjkla.223
2022,39,2,2,3,L1REGULARIZATION IN PORTFOLIO SELECTION WITH M...,12323.233.jklñ
2022,11,1,3,2,A CRITICAL SIGNIFICANCE OF USING MACHINE LEARN...,123211.98728lkjk
2022,39,1,3,2,A SYSTEM OF SYSTEMS APPROACH TO SMART BUILDING...,123.12345jdks
2022,135,39,2,3,INTENTION TO USE ANALYTICAL ARTIFICIAL INTELLI...,10000122o3ejd
2020,94,20,3,3,THE VIRTUE OF SIMPLICITY ON MACHINE LEARNING M...,1ojcjdks1
2020,8,2,2,3,APPLICATION OF ARTIFICIAL INTELLIGENCE IN IMPR...,1fidjosklñ
2020,102,2,3,2,LEARNING TREE STRUCTURES FROM NOISY DATA,17890dkjnskal
2019,69,36,2,3,MACHINE LEARNING FOR QUANTITATIVE FINANCE APPL...,1326589.
2018,36,26,3,3,1 Articulo,1ghjkl.1234
2017,7,86,3,3,2 Articulo,123456789
2016,31,5,2,3,3 Articulo,13677592
2015,25,26,2,3,4 Articulo,13.256.169
2014,25,85,3,2,5 Articulo,2345678
2013,74,533,3,2,6 Articulo,13469582
2012,36,23,3,3,7 Articulo,34536789
2011,62,14,3,3,8 Articulo,136568.52.4
2010,25,46,1,3,9 Articulo,1.325.524
2009,84,75,3,3,10 Articulo,104657369
2008,45,63,3,3,11 Articulo,136.452.128
2007,1,83,2,1,12 Articulo,98765345
2006,4,18,1,2,13 Articulo,13256894
2005,58,97,3,2,14 Articulo,132455.8
2004,5,14,2,1,15 Articulo,14753451
2003,745,83,3,3,16 Articulo,10.45664325.2
2002,82,46,3,3,17 Articulo,13245.82.
2001,55,37,3,3,18 Articulo,335.674.546.457
2000,62,14,3,3,19 Articulo,321.434.675
1999,11,29,3,3,20 Articulo,423123.t
1998,25,37,2,3,21 Articulo,32145.ert
1997,82,35,3,2,22 Articulo,2134526.sdfgd
1996,41,12,3,3,23 Articulo,2.dfghfj.dfgs
1998,1,1,2,3,Defining folklore: Mestizo and indigenous iden...,223456.dfasgdh
1997,217,8,1,3,Trafficking in Men: The Anthropology of Mascul...,43526.dasfgh
1996,0,4,3,3,Religious plurality in Latin America [Pluralit...,341256.dfgdh
1983,163,2,3,3,Health interview surveys in developing countri...,21345.efrg
1982,51,7,2,3,Public health impact of a snow disaster.,341256.rght
1982,52,1,2,3,60 years of health care in the USSR [Casopis l...,231456.fdgh
1982,4,26,2,3,Oxidative metabolism of xenobiotics during pre...,1324695.5
1982,251,1,3,3,Evaluation of the administrative compliance co...,316257.85